"eBird中文俗名
(紅字表示系統尚無中文俗名)",eBird英文俗名,eBird學名,"現行臺灣鳥類名錄中文名
(與eBird中文俗名相異者以紅字標示)","現行臺灣鳥類名錄學名
(與eBird學名相異者以紅字標示)","2025
全球紅皮書等級",eBird英文俗名簡碼,eBird學名簡碼,"eBird網頁代碼
species code",分類排序編號,eBird外來種狀態,"eBird中文俗名
(香港)","eBird中文俗名
(簡體)",其他中文俗名,PhotoLink,Credit,MLCode
西方黃鶺鴒,Western Yellow Wagtail,Motacilla flava,西方黃鶺鴒,Motacilla flava,LC,WYWA,MOFL,eaywag1,31682,,西黃鶺鴒,西黄鹡鸰,黃鶺鴒,,,
東方黃鶺鴒,Eastern Yellow Wagtail,Motacilla tschutschensis,東方黃鶺鴒,Motacilla tschutschensis,LC,EYWA,MOTS,eaywag,31700,,東黃鶺鴒,黄鹡鸰,,,,
黃頭鶺鴒,Citrine Wagtail,Motacilla citreola,黃頭鶺鴒,Motacilla citreola,LC,CIWA,MOCI,citwag,31707,,黃頭鶺鴒,黄头鹡鸰,,,,
日本鶺鴒,Japanese Wagtail,Motacilla grandis,日本鶺鴒,Motacilla grandis,LC,JAWA,MOGR,japwag1,31716,,,日本鹡鸰,,,,
白鶺鴒,White Wagtail,Motacilla alba,白鶺鴒,Motacilla alba,LC,PWWA WHWA,MOAL,whiwag,31720,,白鶺鴒,白鹡鸰,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/611218580/1200,©Ting-Wei (廷維) HUNG (洪),ML611218580
大花鷚,Richard's Pipit,Anthus richardi,大花鷚,Anthus richardi,LC,RIPI,ANRI,ricpip1,31752,,理氏鷚,理氏鹨,田鷚,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/413059641/1200,©Po-Wei Chi,ML413059641
稻田鷚,Paddyfield Pipit,Anthus rufulus,稻田鷚,Anthus rufulus,LC,PAPI,ANRU,oripip1,31758,,稻田鷚,田鹨,,,,
布萊氏鷚,Blyth's Pipit,Anthus godlewskii,布萊氏鷚,Anthus godlewskii,LC,BLPI,ANGO,blypip1,31813,,布氏鷚,布氏鹨,,,,
草地鷚,Meadow Pipit,Anthus pratensis,草地鷚,Anthus pratensis,LC,MEPI,ANPR,meapip1,31853,,,草地鹨,,,,
粉紅胸鷚,Rosy Pipit,Anthus roseatus,粉紅胸鷚,Anthus roseatus,LC,ROPI,ANRO,rospip1,31856,,粉紅胸鷚,粉红胸鹨,,,,
林鷚,Tree Pipit,Anthus trivialis,林鷚,Anthus trivialis,LC,TRPI,ANTR,trepip,31857,,林鷚,林鹨,,,,
樹鷚,Olive-backed Pipit,Anthus hodgsoni,樹鷚,Anthus hodgsoni,LC,OBPI,ANHO,olbpip,31861,,樹鷚,树鹨,,,,
白背鷚,Pechora Pipit,Anthus gustavi,白背鷚,Anthus gustavi,LC,PEPI,ANGU,pecpip,31865,,北鷚,北鹨,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/611748760/1200,©Ting-Wei (廷維) HUNG (洪),ML611748760
赤喉鷚,Red-throated Pipit,Anthus cervinus,赤喉鷚,Anthus cervinus,LC,RTPI,ANCE,retpip,31870,,紅喉鷚,红喉鹨,,,,
水鷚,Water Pipit,Anthus spinoletta,水鷚,Anthus spinoletta,LC,WAPI,ANSP,watpip1,31871,,水鷚,水鹨,褐色鷚 小水鷚,,,
黃腹鷚,Siberian Pipit,Anthus japonicus,黃腹鷚,Anthus japonicus,LC,BBPI SIPI,ANJA,sibpip1,31882,,黃腹鷚 (japonicus),黄腹鹨,,,,
花雀,Brambling,Fringilla montifringilla,花雀,Fringilla montifringilla,LC,BRAM,FRMO,brambl,31974,,燕雀,燕雀,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/62478491/1200,©Ting-Wei (廷維) HUNG (洪),ML62478491
臘嘴雀,Hawfinch,Coccothraustes coccothraustes,臘嘴雀,Coccothraustes coccothraustes,LC,HAWF,COCO,hawfin,32091,,錫嘴雀,锡嘴雀,,,,
小桑鳲,Yellow-billed Grosbeak,Eophona migratoria,小桑鳲,Eophona migratoria,LC,YBGR CHGR,EOMI,yebgro1,32097,,黑尾蠟嘴雀,黑尾蜡嘴雀,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/625472444/1200,©u7 Liao,ML625472444
桑鳲,Japanese Grosbeak,Eophona personata,桑鳲,Eophona personata,LC,JAGR,EOPE,japgro1,32100,,黑頭蠟嘴雀,黑头蜡嘴雀,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/623550233/1200,©Yu-Wei (昱緯) LI (李),ML623550233
普通朱雀,Common Rosefinch,Carpodacus erythrinus,普通朱雀,Carpodacus erythrinus,LC,CORO,CAER,comros,32147,,普通朱雀,普通朱雀,,,,
酒紅朱雀,Vinaceous Rosefinch,Carpodacus vinaceus,酒紅朱雀,Carpodacus vinaceus,LC,VIRO,CAVI,vinros2,32174,,,酒红朱雀,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/128594971/1200,©Ting-Wei (廷維) HUNG (洪),ML128594971
臺灣朱雀,Taiwan Rosefinch,Carpodacus formosanus,臺灣朱雀,Carpodacus formosanus,NT,TARO,CAFO,vinros3,32175,暫定種,,台湾酒红朱雀,朱雀,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/62478491/1200,©Ting-Wei (廷維) HUNG (洪),ML62478491
北朱雀,Pallas's Rosefinch,Carpodacus roseus,北朱雀,Carpodacus roseus,LC,PARO,CARO,palros2,32208,,北朱雀,北朱雀,,,,
褐鷽,Brown Bullfinch,Pyrrhula nipalensis,褐鷽,Pyrrhula nipalensis,LC,BRBU,PYNI,brobul1,32232,,褐灰雀,褐灰雀,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/625472444/1200,©u7 Liao,ML625472444
灰鷽,Taiwan Bullfinch,Pyrrhula owstoni,灰鷽,Pyrrhula owstoni,LC,TABU,PYOW,gyhbul5,32247,,,台湾灰头灰雀,赤胸灰雀 赤胸灰鷽,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/623550233/1200,©Yu-Wei (昱緯) LI (李),ML623550233
歐亞鷽,Eurasian Bullfinch,Pyrrhula pyrrhula,歐亞鷽,Pyrrhula pyrrhula,LC,EUBU,PYPY,eurbul,32251,,,红腹灰雀,,,,
金翅雀,Oriental Greenfinch,Chloris sinica,金翅雀,Chloris sinica,LC,GCGR ORGR,CHSI,origre,32343,,金翅雀,金翅雀,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/128594971/1200,©Ting-Wei (廷維) HUNG (洪),ML128594971
赤胸朱頂雀,Eurasian Linnet,Linaria cannabina,赤胸朱頂雀,Linaria cannabina,LC,EULI COLI,LICA,eurlin1,32472,,,赤胸朱顶雀,,,,
普通朱頂雀,Redpoll,Acanthis flammea,普通朱頂雀,Acanthis flammea,LC,REDP,ACFL,redpol1,32483,,普通朱頂雀,白腰朱顶雀,白腰朱頂雀,,,
紅交嘴雀,Red Crossbill,Loxia curvirostra,紅交嘴雀,Loxia curvirostra,LC,COCR RECR,LOCU,redcro,32498,,,红交嘴雀,,,,
黃雀,Eurasian Siskin,Spinus spinus,黃雀,Spinus spinus,LC,EUSI,SPSP,eursis,32594,,黃雀,黄雀,,,,
鐵爪鵐,Lapland Longspur,Calcarius lapponicus,鐵爪鵐,Calcarius lapponicus,LC,LABU LALO,CALA,laplon,32664,,鐵爪鵐,铁爪鹀,,,,
雪鵐,Snow Bunting,Plectrophenax nivalis,雪鵐,Plectrophenax nivalis,LC,SNBU,PLNI,snobun,32674,,,雪鹀,,,,
冠鵐,Crested Bunting,Emberiza lathami,冠鵐,Emberiza lathami,LC,CRBU,EMLA,crebun1,32697,,鳳頭鵐,凤头鹀,,,,
黑頭鵐,Black-headed Bunting,Emberiza melanocephala,黑頭鵐,Emberiza melanocephala,LC,BHBU,EMME,blhbun1,32698,,黑頭鵐,黑头鹀,,,,
褐頭鵐,Red-headed Bunting,Emberiza bruniceps,褐頭鵐,Emberiza bruniceps,LC,RHBU,EMBR,rehbun1,32699,,褐頭鵐,褐头鹀,,,,
赤胸鵐,Chestnut-eared Bunting,Emberiza fucata,赤胸鵐,Emberiza fucata,LC,CEBU,EMFU,chebun2,32705,,栗耳鵐,栗耳鹀,,,,
草鵐,Meadow Bunting,Emberiza cioides,草鵐,Emberiza cioides,LC,MEBU,EMCI,meabun1,32724,,三道眉草鵐,三道眉草鹀,,,,
白頂鵐,White-capped Bunting,Emberiza stewarti,白頂鵐,Emberiza stewarti,LC,WCBU,EMST,chbbun1,32732,,,白顶鹀,,,,
白頭鵐,Pine Bunting,Emberiza leucocephalos,白頭鵐,Emberiza leucocephalos,LC,PIBU,EMLE,pinbun,32737,,白頭鵐,白头鹀,,,,
灰頸鵐,Gray-necked Bunting,Emberiza buchanani,灰頸鵐,Emberiza buchanani,LC,GNBU,EMBU,gyhbun1,32742,,,,,,,
圃鵐,Ortolan Bunting,Emberiza hortulana,圃鵐,Emberiza hortulana,LC,ORBU,EMHO,ortbun1,32749,,圃鵐,圃鹀,,,,
黃喉鵐,Yellow-throated Bunting,Emberiza elegans,黃喉鵐,Emberiza elegans,LC,YTBU,EMEL,yetbun1,32794,,黃喉鵐,黄喉鹀,,,,
紅頸葦鵐,Ochre-rumped Bunting,Emberiza yessoensis,紅頸葦鵐,Emberiza yessoensis,NT,JRBU ORBU,EMYE,ocrbun1,32798,,紅頸葦鵐,红颈苇鹀,,,,
葦鵐,Pallas's Bunting,Emberiza pallasi,葦鵐,Emberiza pallasi,LC,PRBU PABU PALB,EMPA,palbun,32801,,葦鵐,苇鹀,,,,
蘆鵐,Reed Bunting,Emberiza schoeniclus,蘆鵐,Emberiza schoeniclus,LC,CRBU REBU,EMSC,reebun,32806,,蘆鵐,芦鹀,,,,
金鵐,Yellow-breasted Bunting,Emberiza aureola,金鵐,Emberiza aureola,CR,YBBU YBSB,EMAU,yebbun,32827,,黃胸鵐,黄胸鹀,,,,
小鵐,Little Bunting,Emberiza pusilla,小鵐,Emberiza pusilla,LC,LIBU,EMPU,litbun,32830,,小鵐,小鹀,,,,
田鵐,Rustic Bunting,Emberiza rustica,田鵐,Emberiza rustica,NT,RUBU,EMRU,rusbun,32831,,田鵐,田鹀,,,,
野鵐,Yellow Bunting,Emberiza sulphurata,野鵐,Emberiza sulphurata,LC,JYBU YEBU,EMSU,yelbun1,32834,,硫磺鵐,硫黄鹀 (硫磺鹀),,,,
灰頭黑臉鵐,Black-faced Bunting,Emberiza spodocephala,灰頭黑臉鵐,Emberiza spodocephala,LC,BFBU,EMSP,bkfbun1,32835,,灰頭鵐,灰头鹀,黑臉鵐,,,
黃喉黑臉鵐,Masked Bunting,Emberiza personata,黃喉黑臉鵐,Emberiza personata,LC,MABU,EMPE,bkfbun2,32838,,黑臉鵐,日本灰头鹀,,,,
鏽鵐,Chestnut Bunting,Emberiza rutila,鏽鵐,Emberiza rutila,LC,CHBU,EMRU,chebun1,32840,,栗鵐,栗鹀,銹鵐,,,
黃眉鵐,Yellow-browed Bunting,Emberiza chrysophrys,黃眉鵐,Emberiza chrysophrys,LC,YBBU YBWB,EMCH,yebbun1,32841,,黃眉鵐,黄眉鹀,,,,
白眉鵐,Tristram's Bunting,Emberiza tristrami,白眉鵐,Emberiza tristrami,LC,TRBU,EMTR,tribun1,32842,,白眉鵐,白眉鹀,,,,
灰鵐,Gray Bunting,Emberiza variabilis,灰鵐,Emberiza variabilis,LC,GRBU,EMVA,grybun,32843,,,灰鹀,,,,
稀樹草鵐,Savannah Sparrow,Passerculus sandwichensis,稀樹草鵐,Passerculus sandwichensis,LC,SASP SBBS SAVS,PASA,savspa,33244,,,稀树草鹀,,,,
